symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IPMK	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	0	0.026440000000000196	No data	-0.7158783079808293	-0.6074285958371312	0	No data	No data	0	0.5	0
MAFTRR	0.009588544007653096	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MFAP2	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.4535499999999999	No data	0.37737028547614093	-0.2870245512257433	0	No data	No data	0	-1	0
PLA2G2D	0.009765737015760261	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	1	1	0	0	No data	0.8161075224005001	-0.6731562467443488	0	No data	No data	0	1	0.5
FOSB	0.008384945614229918	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7929000000000002	No data	-0.7573452802667222	-0.3231168748608418	0	No data	No data	0	-1	-1
SYK	0.008561933300195591	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	1	0.5748049999999999	1	-0.9046676390914774	-0.9518379312808891	0	-1	No data	0	0.5	0
TNFSF12	0.015589558545857961	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	1	0	0	0	0.45782999999999985	No data	-0.6174202958949782	0	0	No data	No data	0	-1	0
ALB	0.021640139553938523	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	1	1	1	0	No data	-0.6427380704313399	-0.05377051238253633	0	No data	No data	0	1	0
STIL	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.647634923942488	-0.6306879951359029	-1	No data	No data	No data	0.5	0
NUDT15	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.45122	1	0.5446968118357991	-0.4115540535803597	0	-1	No data	No data	-1	-1
FTH1	0.0016835478364690857	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5901649999999996	No data	-0.164930193790373	-0.817554106309471	-1	No data	No data	-0.4945350000000001	-1	-1
PITX2	0.003675266332697868	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	-0.8111064805167744	-0.9872809270731692	0	No data	No data	-0.05092499999999998	0.5	0
NEU1	0.462898767992589	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0	0	1	1	0	0.08433500000000009	No data	-0.08897687018128775	-0.8623462170873558	0	No data	No data	0	-1	0
GPS2	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.877675	No data	-0.3978953948739321	No data	0	No data	No data	No data	-1	-1
TBXT	0.011013489330453177	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5527500000000003	No data	-0.31402375494894774	-0.9660087260929345	0	No data	No data	0	0.75	0.5
CTDSP1	0.3633251389177283	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5976422651149185	No data	No data	No data	No data	No data	No data	0	0	0	1	0	0.94253	No data	-0.8835173994582205	-0.11655552492370824	0	No data	No data	-0.23371749999999986	-1	-1
SCN1A	0.29824518113984927	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4896787800969464	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9079149999999998	No data	-0.9937486976453428	-0.9660827336174976	0	-1	No data	-0.6864100000000001	0.5	0.5
