"","Feature","Comparison","Estimate","P","FDR","Gene","Color","invert_P"
"1344","HNRNPLL","NeuN vs pSyn",-0.463987545177218,0.262561873529957,0.394819812129234,"HNRNPLL","NS or FC < 0.5",-0.580768337339052
"1345","ATG13","NeuN vs pSyn",0.383850027949423,0.0605184286429997,0.142803567834963,"ATG13","NS or FC < 0.5",1.21811235692998
"1346","CHID1","NeuN vs pSyn",0.189411392343313,0.37204089012741,0.501486516898661,"CHID1","NS or FC < 0.5",0.42940932522355
"1347","ARHGAP32","NeuN vs pSyn",-0.162694086554246,0.710964057450069,0.795345324899501,"ARHGAP32","NS or FC < 0.5",-0.148152354327427
"1348","DLG2","NeuN vs pSyn",-0.177331507825298,0.450147585060346,0.575463641365047,"DLG2","NS or FC < 0.5",-0.346645075404569
"1349","C17orf49","NeuN vs pSyn",0.739062251297319,1.79927366949934e-08,3.59896577473577e-06,"C17orf49","Enriched in pSyn FDR < 0.01",7.74490277544589
"1350","SLC6A8","NeuN vs pSyn",0.290699822185722,0.0365063714875246,0.10261153632817,"SLC6A8","NS or FC < 0.5",1.43763133114936
"1351","TMOD2","NeuN vs pSyn",-0.352874002876448,0.0374559993060026,0.104157468487206,"TMOD2","NS or FC < 0.5",-1.42647861169421
"1352","API5","NeuN vs pSyn",-0.327401534452125,0.00846099538667594,0.0404722415236819,"API5","NS or FC < 0.5",-2.07257854174685
"1353","MPC2","NeuN vs pSyn",0.0363477895672585,0.881250582071588,0.919970415875438,"MPC2","NS or FC < 0.5",0.0549005831461955
"1354","SYCE1","NeuN vs pSyn",-0.00186703176509102,0.99087388430689,0.994458142231454,"SYCE1","NS or FC < 0.5",-0.00398161780031931
"1355","FAM13C","NeuN vs pSyn",-0.251964490523027,0.225679954782965,0.354154515669329,"FAM13C","NS or FC < 0.5",-0.646507013867538
